Count,Description,Model Number,Serial Number,MAC ID,Location
,,,,,
,Mobile signal booster,,,,c/o Senator Dick Gordon
,Omni Directional Ceiling Antenna Q7/27,,,,c/o Senator Dick Gordon
,Omni Fiberglass Antenna 9/2100HA12 ,,,,c/o Senator Dick Gordon
,Xiaomi Mi 8 Lite Aurora Blue 4gb 64gb,,889808037125008,,c/o Mam Alfie 
,Xiaomi Mi 8 Lite Aurora Blue 4gb 64gb,,869808037182983,,c/o Donna
,iPhone 11,,,,c/o Ome 
,iPhone 6 (not working),,,,"Radio Room, Wooden Cabinet Level 4 (inside box)"
,Oppo A37f - Smart postpaid bakas 09688511763,,,,c/o Allan
,Anker Portable Laptop Charger powercore III 19K 60W with anker pod lite 65W - Model:A2718,,,,c/o PaoPen
,Anker Portable Laptop Charger powercore III 19K 60W,,,,"Radio Room, Mobile Pedestal"
,Unifi Network Switch 8 port,US-8,74ACB9EA6D91,74ACB9EA6D91,"Radio Room, Mobile Pedestal ~ currently used in Isabela Condominium - VOXP Romel"
,Unifi Network Switch 8 port,US-8,74ACB9EA9698,,"Radio Room, Mobile Pedestal - Deploy at Makati Prime"
,Unifi Network Switch 8 port,US-8,74ACB9EA8E9D,,Radio Room Mobile Pedestal
,2 Bay Disk Enclosure,,,,Radio Room Mobile Pedestal
,Xiaomi Redmi Note 7,,,,c/o Chara
,Samsung Monitor Color Display Unit DC14V 1.78A,S24E310HL,ZZD6H4LG600705H,LS24E310HL/XP,c/o Direk Jason
,Samsung Adapter 100-240V  50-60Hz  1.0A,A2514 FPN,CN07BN4400797ASK28G4PE169,,c/o Direk Jason
,Macmini 100-240V  60-60Hz,A1347,C07K152WDWYL,,c/o Direk Jason
,Mouse White,,,,c/o Direk Jason
,Mouse Black M545,810-004716,1607LZ09P4D8,,c/o Direk Jason
,Keyboard,,,,c/o Direk Jason
,Starlink Router,UTR-211,WAHT01266497,,Tito Tammy
,Fanless Mini PC,,,,Tito Tammy
,ETH Surge Protector Ubiquiti Networks,ETH-SP,K17020203880,,Tito Tammy or Scada Tower
,ETH Surge Protector Ubiquiti Networks,ETH-SP,K18084100070,,Tito Tammy or Scada Tower
,Qute Style Mini Portable Powerbank 6000mah,,,,c/o at Mommy Mendiola's grave
,USB Volt Current Doctor Charger Capacity Power,,,,c/o at Mommy Mendiola's grave
,Romoss OM10 10000mAh Powerbank,,,,c/o at Mommy Mendiola's grave
,Romoss Powerbank Sense4 10400mAh,,,,c/o at Mommy Mendiola's grave
2,RTC Module DS1307 Arduino,,,,c/o at Mommy Mendiola's grave
2,Dual Micro-USB 3.7v to 5V 2A Mobile Power Bank,,,,c/o at Mommy Mendiola's grave
,Ubiquiti LAP-GPS,,E43883A87B8B,,SCADA Base Main Floor
,Ubiquiti  NBE-5AC-GEN2,,70A74142B094,,SCADA Base Main Floor
,Ubiquiti  NBE-5AC-GEN2,,70A74142B3FF,,SCADA Base Main Floor
,Ubiquiti Rocket 2AC Prism,R2AC-PRISM-US,,784558AA19E5,SCADA Base Main Floor
,Ubiquiti Rocket 2AC Prism,R2AC-PRISM-US,,784558AC578D,SCADA Base Main Floor
,NanoStation M2 2.4GHz,NSM2,F492BFB47151,,SCADA Base Main Floor
,NanoStation M2 2.4GHz,NSM2,F492BFB470EF,,SCADA Base Main Floor
,LG Split Room Air Conditioner,HS-181PA,,,SCADA Base Main Floor
,"Samsung Full HD Flat Smart TV 50""",UA50J550ARXXP,0BGP3MKG800177K,,SCADA Base Main Floor
,HP Smart Printer,,CN56U6B2M3,,SCADA Base Main Floor 
,Redfox Speaker,,RFSKSY20SN1201120470,,SCADA Base Main Floor
,HSU Research True subwoofer VTF-3,,V3-02110019,,SCADA Base Main Floor
,Fanless Mini PC color grey ,FMP03-i5-426OU,,,SCADA Base Main Floor
,APC Back-Ups 650  BX650L1-MS,,,,SCADA Base Main Floor
,Power Station 220V Solar Power Bank CW-BZ,,,,SCADA Base Main Floor
,MCH-305A DC Power Supply,,,,SCADA Base Main Floor
6,CUDY PoE200 30W Gigabit PoE Injector Adapter,POE200 (US) ver 1.0,,,"SCADA Base Main Floor, inside the box under Allan's table"
2,Stranded Wire,,,,"SCADA Base Main Floor, inside the box under Allan's table"
,BSIDE dual mode AC voltage detector 19109057,,,,"SCADA Base Main Floor, inside the box under Allan's table"
,22AWG 6 rolls 30 feet stranded wire,,,,"SCADA Base Main Floor, inside the box under Allan's table"
5,GEEKWORM X820 V.3 metal case w/ power control switch and fan SKU: 592758,X820,,,"SCADA Base Main Floor, inside the box under Allan's table"
,button head hex socket head cap bolts screws nuts kit,,,,"SCADA Base Main Floor, inside the box under Allan's table"
12,PoE texas GPOE-18 Gigabit passive power  X00216BWWR,,,,"SCADA Base Main Floor, inside the box under Allan's table"
5,U-GREEN smart digital life rj45 coupler adapter 5 pack black,,,,"SCADA Base Main Floor, inside the box under Allan's table"
10,Icstation rj45 waterproof connector female to F#13486,,,,"SCADA Base Main Floor, inside the box under Allan's table"
,Tigertronics signalink USB - integrated USB sound card (inside zip lock),,,,"SCADA Base Main Floor, inside the box under Allan's table"
3,2.4~2.5GHz 5dBi black antenna,,,,"SCADA Base Main Floor, inside the box under Allan's table"
4,small balck antenna,,,,"SCADA Base Main Floor, inside the box under Allan's table"
2,868M/900M/915MHz 5dBi black antenna,,,,"SCADA Base Main Floor, inside the box under Allan's table"
,824-1990MHz 3dBi black antenna,,,,"SCADA Base Main Floor, inside the box under Allan's table"
2,4.9-5.8GHz 4dBi black antenna,,,,"SCADA Base Main Floor, inside the box under Allan's table"
3,2.4G black antenna,,,,"SCADA Base Main Floor, inside the box under Allan's table"
5,4.0G black antenna,,,,"SCADA Base Main Floor, inside the box under Allan's table"
5,5G black antenna,,,,"SCADA Base Main Floor, inside the box under Allan's table"
,Panda Wireless WiFi Antenna 300Mbps,PAU06,,,"SCADA Base Main Floor, inside the box under Allan's table"
,Omni Antenna 2.4GHz 9dBi Alfa Antenna,,,,"SCADA Base Main Floor, inside the box under Allan's table"
2,900MHz,,,,"SCADA Base Main Floor, inside the box under Allan's table"
2,rubber duck lora antenna 915mhz 8dBi,,,,"SCADA Base Main Floor, inside the box under Allan's table"
,WIFI 10dBi Omni Antenna 2.4GHz,,,,"SCADA Base Main Floor, inside the box under Allan's table"
,Proxicast Universal Long Aerial High Gain Omni-Directional - 698-2700MHz 5-8dBi,,,,"SCADA Base Main Floor, inside the box under Allan's table"
,Phonetone Indoor 5db Gain Wireless Angle dual band Antenna N-male 850MHz 1900MHz Gain: 5dB,,,,"SCADA Base Main Floor, inside the box under Allan's table"
,Altimeter,,,,"SCADA Base Main Floor, overhead platform inside small box"
,Bushnell Back Track GPS,,,,"SCADA Base Main Floor, overhead platform inside small box"
,8586 Reowrk Station 220VAC for soldering,,,,"SCADA Base Main Floor, overhead platform"
,Fairwaves - umSite Aluminum GSM900,,,,"SCADA Base Main Floor, overhead platform"
2,WiFi Smart camera DC12V,HAL-A8,,,"SCADA Base Main Floor, overhead platform"
